region,prive_2001,prive_2024,croissance
Nouvelle-Aquitaine,16268,55541,241.0
Île-de-France,90699,271914,200.0
Auvergne-Rhône-Alpes,36020,107818,199.0
Normandie,9634,26909,179.0
Occitanie,22081,58763,166.0
Provence-Alpes-Côte d'Azur,17499,44342,153.0
Grand Est,14479,34868,141.0
Hauts-de-France,30245,71280,136.0
Bretagne,15523,35645,130.0
Pays de la Loire,25487,56402,121.0
Centre-Val de Loire,5866,12714,117.0
Bourgogne-Franche-Comté,5741,11575,102.0
