statut,neobac,boursiers,TB,TBF,sansmention,% boursiers,% TB+,% sans mention
Privé enseignement supérieur,37556,2452,2991,168,10019,6.528916817552455,8.411438917882629,26.677494940888273
Privé hors contrat,1223,143,65,2,480,11.692559280457889,5.478331970564186,39.247751430907606
Privé sous contrat d'association,32575,5296,2786,589,12285,16.257866462010746,10.360706062931696,37.712970069071375
Public,413896,91179,46586,6542,121481,22.029447010843302,12.83607476274233,29.350609815025997
