type,effectif_2001,effectif_2024,gain,contribution,croissance
Écoles de commerce,70363,257101,186738,54.638019972320805,265.39232266958487
Écoles d'art & culture,23806,78648,54842,16.046323144309234,230.37049483323534
Paramédical & social,42927,65162,22235,6.505780152323326,51.79723717007945
Autres écoles spécialisées,24012,60263,36251,10.606747753625944,150.9703481592537
Universités privées,20667,49080,28413,8.313412703753661,137.48004064450572
Autres,3906,17200,13294,3.8897162736670245,340.3481822836661
